epoch,acc,loss
0,0.755863808325,0.442145947358
1,0.789686270016,0.415596259054
2,0.806672016514,0.39713319525
3,0.81356949062,0.387184288844
4,0.816167985021,0.381666844142
5,0.817639191415,0.378444781337
6,0.818884940194,0.376747447525
7,0.819133325688,0.376122341541
8,0.818827620464,0.374900163201
9,0.820027513467,0.37370367384
10,0.820638923919,0.373657853635
11,0.820145974251,0.373134099883
12,0.821449042758,0.372339824834
13,0.820719171541,0.372572589502
14,0.821082196498,0.372749501319
15,0.821632465891,0.372025162908
16,0.821521647753,0.370872457582
17,0.821739462729,0.370564600166
18,0.821716534837,0.369900031145
19,0.822733004702,0.368844467174
20,0.822358515803,0.368383941541
21,0.82201459743,0.367511548857
22,0.821968741643,0.366343743392
23,0.822324123961,0.364802607874
24,0.822033704006,0.363788062277
25,0.822224769763,0.362954340225
26,0.822763575216,0.361330539678
27,0.821961099008,0.360285942303
28,0.822450227366,0.358838741793
29,0.822652757085,0.357550967039
30,0.821880851387,0.356910852947
31,0.822083381106,0.355784930365
32,0.821945813751,0.354306443453
33,0.822305017393,0.353483175042
34,0.822205663183,0.351845077423
35,0.82231648133,0.351441021689
36,0.82207955979,0.34976735218
37,0.822247697659,0.347023814057
38,0.822633650508,0.34548690344
39,0.821666857735,0.343327062333
