epoch,acc,loss,val_acc,val_loss
0,0.987898387441,0.0369767761554,0.771038424897,1.82255407328
1,0.993473616436,0.019030529294,0.771911718009,1.82391879307
2,0.994497936726,0.0161082612557,0.771117815179,2.01589643479
3,0.994732067078,0.014512296536,0.781279771362,2.03550989948
4,0.994951564268,0.0136852608713,0.774452207053,2.16250515093
5,0.995185694635,0.0128264791351,0.774293426485,2.42330480495
6,0.995302759812,0.0121075126149,0.777707208641,2.23583553557
7,0.995610055899,0.0116842946496,0.77596062242,2.49658679738
8,0.995814919971,0.0107049281059,0.776040012702,2.5676228409
9,0.996224648073,0.0102771785966,0.777072086377,2.54000450769
